Species,Ti,Acc,gene
Celastrus scandens,"Celastrus scandens ATP synthase beta subunit (atpB) gene, partial cds; chloroplast",AY788264,atpB
Comandra umbellata,"Comandra umbellata voucher Kellar 1411 ATP synthase CF1 beta subunit (atpB) gene, complete cds; plastid",KT176268,atpB
Convolvulus arvensis,"Convolvulus arvensis voucher Kellar 1382 ATP synthase CF1 beta subunit (atpB) gene, complete cds; plastid",KT176263,atpB
Erigeron canadensis,"Erigeron canadensis ATP synthase beta subunit (atpB) gene, partial cds; chloroplast",MT188782,atpB
Cornus alternifolia,"Cornus alternifolia voucher Xiang 02-26 ATP synthase beta subunit (atpB) gene, partial cds; chloroplast",EU373560,atpB
Cornus racemosa,"Cornus racemosa voucher Xiang Xiang 599 ATP synthase beta subunit (atpB) gene, partial cds; chloroplast",EU373557,atpB
Cornus sericea,"Cornus sericea ATP synthase beta subunit (atpB) gene, partial cds; mitochondrial",AY725918,atpB
Danthonia spicata,"Danthonia spicata voucher Taub, W.D. 30 (SASK) ATP synthase beta chain (atpB) gene, partial cds; atpB-rbcL intergenic spacer, complete sequence; and ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",EU400886,atpB
Elymus trachycaulus,"Elymus trachycaulus ATP synthase beta subunit (atpB) gene, partial cds; chloroplast",DQ780984,atpB
Epilobium angustifolium,"Epilobium angustifolium ATP synthase beta subunit (atpB) gene, partial cds; chloroplast gene for chloroplast product",AF209582,atpB
Festuca rubra,"Festuca rubra ATP synthase beta subunit (atpB) gene, partial cds; chloroplast",DQ780985,atpB
Galium aparine,"Galium aparine voucher Steele 1309 ATP synthase CF1 beta subunit (atpB) gene, complete cds; plastid",KT176272,atpB
Gentiana andrewsii,"Gentiana andrewsii voucher James S. Pringle 2737 (LZ) ATP synthase beta subunit (atpB) gene, partial cds; atpB-rbcL intergenic spacer, complete sequence; and ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid",KT907514,atpB
Heliopsis helianthoides,"Heliopsis helianthoides var. occidentalis voucher Aust 184 ATP synthase CF1 beta subunit (atpB) gene, complete cds; plastid",KT176240,atpB
Impatiens capensis,"Impatiens capensis voucher Kellar 1393 ATP synthase CF1 beta subunit (atpB) gene, complete cds; plastid",KT176266,atpB
Juniperus communis,"Juniperus communis ATP synthase beta subunit (atpB) gene, partial cds; chloroplast",AY664834,atpB
Lactuca serriola,"Lactuca serriola isolate NARC73 ATP synthase beta subunit (atpB) gene, partial cds; chloroplast",KX401408,atpB
Larix laricina,"Larix laricina isolate Lar2166 ATPase beta subunit (atpB) gene, partial cds; atpB-rbcL intergenic spacer, complete sequence; and ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",GU457448,atpB
Leersia oryzoides,Leersia oryzoides partial chloroplast atpB gene for ATP synthase beta subunit,AJ419157,atpB
Diphasiastrum complanatum,"Diphasiastrum complanatum rbcL-atpB intergenic spacer, partial sequence; and ATP synthase CF1 beta subunit (atpB) gene, partial cds; chloroplast",MH064646,atpB
Medicago sativa,"Medicago sativa ATP synthase beta subunit (atpB) and ATP synthase epsilon subunit (atpE) genes, complete cds; chloroplast genes for chloroplast products",AF163770,atpB
Mollugo verticillata,"Mollugo verticillata voucher Edwards n.a. (BRU) ATPase beta chain (atpB) gene, partial cds; chloroplast",HQ620745,atpB
Monarda fistulosa,"Monarda fistulosa var. mollis voucher Aust 190 ATP synthase CF1 beta subunit (atpB) gene, complete cds; plastid",KT176249,atpB
Nepeta cataria,"Nepeta cataria voucher Aust 177 ATP synthase CF1 beta subunit (atpB) gene, complete cds; plastid",KT176250,atpB
Osmunda cinnamomea,"Osmunda cinnamomea ATP synthase beta chain (atpB) gene, partial cds; chloroplast gene for chloroplast product",U93827,atpB
Oxalis stricta,"Oxalis stricta isolate 39 ATP synthase beta subunit (atpB) gene, partial cds; plastid",AY935861,atpB
Penstemon gracilis,"Penstemon gracilis voucher Aust 173 ATP synthase CF1 beta subunit (atpB) gene, complete cds; plastid",KT176253,atpB
Penthorum sedoides,Penthorum sedoides chloroplast atpB gene,AJ235555,atpB
Phleum pratense,"Phleum pratense ATP synthase beta subunit (atpB) gene, partial cds; chloroplast",DQ781006,atpB
Phryma leptostachya,"Phryma leptostachya ATP synthase beta subunit (atpB) gene, partial cds; chloroplast",HQ384710,atpB
Physalis floridana,"Physalis floridana chloroplast partial atpB gene for ATP synthase beta subunit, isolate P106",AM233302,atpB
Physalis pubescens,"Physalis pubescens chloroplast partial atpB gene for ATP synthase beta subunit, isolate P070",AM233226,atpB
Physalis virginiana,"Physalis virginiana voucher Aust 157 ATP synthase CF1 beta subunit (atpB) gene, complete cds; plastid",KT176259,atpB
Plantago lanceolata,"Plantago lanceolata isolate NARC28 ATP synthase beta subunit (atpB) gene, partial cds; chloroplast",KX401373,atpB
Polygonum amphibium,"Polygonum amphibium isolate BL72 ATP synthase beta subunit (atpB) gene, partial cds; and atpB-rbcL intergenic spacer, partial sequence; chloroplast",HQ843113,atpB
Persicaria thunbergii,"Persicaria thunbergii isolate BL13 ATP synthase beta subunit (atpB) gene, partial cds; and atpB-rbcL intergenic spacer, partial sequence; chloroplast",HQ843099,atpB
Persicaria hydropiper,"Persicaria hydropiper isolate BL73 ATP synthase beta subunit (atpB) gene, partial cds; atpB-rbcL intergenic spacer, complete sequence; and ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",HQ843114,atpB
Persicaria maculosa,"Persicaria maculosa isolate BL70 ATP synthase beta subunit (atpB) gene, partial cds; atpB-rbcL intergenic spacer, complete sequence; and ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",HQ843111,atpB
Populus tremuloides,"Populus tremuloides ATP synthase beta subunit (atpB) gene, complete cds; chloroplast gene for chloroplast product",AF209658,atpB
Portulaca oleracea,"Portulaca oleracea voucher Nyffeler n.a. (BRU) ATPase beta chain (atpB) gene, partial cds; chloroplast",HQ620749,atpB
Malus domestica,"Malus domestica cultivar Katty ATP beta subunit (atpB) gene, promoter region; and ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",MH459014,atpB
Rhamnus catharticus,Rhamnus catharticus chloroplast atpB gene,AJ235579,atpB
Rhus typhina,"Rhus typhina ATP synthase beta subunit (atpB) gene, partial cds; plastid",GU943774,atpB
Rudbeckia hirta,"Rudbeckia hirta var. pulcherrima voucher Aust 172 ATP synthase CF1 beta subunit (atpB) gene, complete cds; plastid",KT176238,atpB
Sagittaria latifolia,"Sagittaria latifolia ATP synthase beta subunit (atpB) gene, partial cds; chloroplast gene for chloroplast product",AF239788,atpB
Pennisetum glaucum,"Pennisetum glaucum isolate PE01458 atpB gene and atpB-rbcL intergenic spacer, partial sequence; chloroplast",JF705286,atpB
Silene antirrhina,"Silene antirrhina voucher Kellar 1417 ATP synthase CF1 beta subunit (atpB) gene, complete cds; plastid",KT176269,atpB
Maianthemum racemosum,"Maianthemum racemosum subsp. racemosum ATP synthase beta subunit (atpB) gene, complete cds; chloroplast",AF168945,atpB
Maianthemum stellatum,"Maianthemum stellatum ATP synthase beta chain (atpB) gene, complete cds; chloroplast",JQ273633,atpB
Solanum carolinense,"Solanum carolinense voucher Aust 169 ATP synthase CF1 beta subunit (atpB) gene, complete cds; plastid",KT176260,atpB
Solanum nigrum,"Solanum nigrum voucher PE CPG26425 B. Liu et al. 26425 ATP synthase beta subunit (atpB) gene, partial cds; chloroplast",ON962282,atpB
Solidago canadensis,"Solidago canadensis isolate MM6.2 ATP synthase CF1 beta subunit (atpB) gene, partial cds; ATP synthase CF1 epsilon subunit (atpE) gene, complete cds; atpE-trnM intergenic spacer and tRNA-Met (trnM) gene, complete sequence; and trnM-trnV intergenic spacer, partial sequence; chloroplast",KX242965,atpB
Solidago missouriensis,"Solidago missouriensis voucher Aust 198 ATP synthase CF1 beta subunit (atpB) gene, complete cds; plastid",KT176243,atpB
Stellaria media,"Stellaria media ATP synthase beta subunit (atpB) gene, partial cds; chloroplast gene for chloroplast product",AF209680,atpB
Symphoricarpos occidentalis,"Symphoricarpos occidentalis voucher Steele 1358 ATP synthase CF1 beta subunit (atpB) gene, complete cds; plastid",KT176247,atpB
Typha angustifolia,"Typha angustifolia voucher DZY WQF0332 ATP synthase beta subunit (atpB) gene, partial cds; chloroplast",KX526054,atpB
Typha latifolia,"Typha latifolia ATP synthase beta subunit (atpB) gene, partial cds; chloroplast",AF168951,atpB
Urtica dioica,Urtica dioica chloroplast atpB gene,AJ235635,atpB
Uvularia sessilifolia,"Uvularia sessilifolia ATP synthase beta subunit (atpB) gene, partial cds; chloroplast",KC796830,atpB
Verbascum thapsus,Verbascum thapsus atpB gene,AJ236177,atpB
Verbena bracteata,"Verbena bracteata ATP synthase beta subunit (atpB) gene, partial cds; chloroplast",HQ384711,atpB
Verbena hastata,"Verbena hastata voucher Steele 1369 ATP synthase CF1 beta subunit (atpB) gene, complete cds; plastid",KT176256,atpB
Zizia aurea,"Zizia aurea voucher Aust 158 ATP synthase CF1 beta subunit (atpB) gene, complete cds; plastid",KT176246,atpB
Ginkgo biloba,"Ginkgo biloba isolate LegMedMO_91 maturase K (matK) gene, partial cds; chloroplast",HQ619815,matK
Acer negundo,"Acer negundo voucher AN2021DD01 maturase K (matK) gene, partial cds; chloroplast",OP222055,matK
Acer rubrum,"Acer rubrum isolate OSBAR 000230 maturase K (matK) gene, partial cds; chloroplast",MH551750,matK
Achillea millefolium,"Achillea millefolium voucher Q-115 maturase K (matK) gene, partial cds; chloroplast",MT917283,matK
Agastache foeniculum,"Agastache foeniculum trnK gene, intron; and maturase K (matK) gene, complete cds; chloroplast",AY840146,matK
Elymus repens,"Elymus repens voucher 06-JMS-0600 maturase K (matK) gene, partial cds; chloroplast",MF597346,matK
Pascopyrum smithii,"Pascopyrum smithii voucher 06-PMP-19723 maturase K (matK) gene, partial cds; chloroplast",MF597472,matK
Poa nemoralis,"Poa nemoralis voucher LiJ662 maturase K (matK) gene, partial cds; chloroplast",MN434002,matK
Agrostis scabra,"Agrostis scabra voucher FLAS:Abbott 20996 maturase K (matK) gene, partial cds; chloroplast",KY607144,matK
Allium cernuum,"Allium cernuum voucher ERM680 maturase K (matK) gene, partial cds; chloroplast",KX677445,matK
Allium stellatum,"Allium stellatum voucher v0202350WIS maturase K (matK) gene, partial cds; chloroplast",MK509394,matK
Alnus incana,"Alnus incana voucher ERM608 maturase K (matK) gene, partial cds; chloroplast",KX677393,matK
Amaranthus retroflexus,"Amaranthus retroflexus voucher TLF-097 maturase K (matK) gene, partial cds; chloroplast",MT917853,matK
Ambrosia artemisiifolia,"Ambrosia artemisiifolia voucher v0035662WIS maturase K (matK) gene, partial cds; chloroplast",MK509404,matK
Ambrosia psilostachya,"Ambrosia psilostachya isolate APSI-A maturase K (matK) gene, partial cds; chloroplast",KY752153,matK
Amelanchier alnifolia,"Amelanchier alnifolia voucher ERM630 maturase K (matK) gene, partial cds; chloroplast",KX677752,matK
Amelanchier arborea,"Amelanchier arborea voucher 11312D trnK gene, partial sequence; and maturase K (matK) gene, complete cds; chloroplast",JQ390935,matK
Amelanchier spicata,"Amelanchier spicata voucher TJD-211 maturase K (matK) gene, partial cds; chloroplast",KP210358,matK
Amelanchier laevis,"Amelanchier laevis voucher AP442 maturase K (matK) gene, partial cds; chloroplast",HQ593165,matK
Amelanchier sanguinea,"Amelanchier sanguinea voucher MMD 028 maturase K (matK) gene, partial cds; chloroplast",MG221136,matK
Amorpha canescens,"Amorpha canescens isolate UIC Ac1 maturase K (matK) gene, partial cds; chloroplast",MF153988,matK
Amphicarpaea bracteata,"Amphicarpaea bracteata voucher Q728 maturase K (matK) gene, partial cds; chloroplast",MH660120,matK
Andropogon gerardii,"Andropogon gerardii maturase (matK) gene, complete cds; chloroplast gene for chloroplast product",AF144577,matK
Anemone cylindrica,"Anemone cylindrica voucher MISU22-11 maturase K (matK) gene, partial cds; chloroplast",MG220996,matK
Anemone patens,"Anemone patens voucher Valuyskikh_100g_Rus maturase K (matK) gene, partial cds; chloroplast",MK050077,matK
Anemone quinquefolia,"Anemone quinquefolia voucher NTW763 maturase K (matK) gene, partial cds; chloroplast",MG220927,matK
Anemone virginiana,"Anemone virginiana voucher SCBI-SIGEO_13_0225 maturase K (matK) gene, partial cds; chloroplast",KP643102,matK
Antennaria parlinii,"Antennaria parlinii voucher v0060509WIS maturase K (matK) gene, partial cds; chloroplast",MK509425,matK
Antennaria neglecta,"Antennaria neglecta voucher ERM373 maturase K (matK) gene, partial cds; chloroplast",KX676985,matK
Antennaria plantaginifolia,"Antennaria plantaginifolia voucher SCBI_13_0466 maturase K (matK) gene, partial cds; chloroplast",KP642803,matK
Apocynum androsaemifolium,"Apocynum androsaemifolium voucher HERB0055 maturase K (matK) gene, partial cds; chloroplast",KX677062,matK
A.androsaemifolium chloroplast,A.androsaemifolium chloroplast matK gene,Z70183,matK
Apocynum cannabinum,"Apocynum cannabinum voucher HERB0056 maturase K (matK) gene, partial cds; chloroplast",KX676779,matK
Aquilegia canadensis,"Aquilegia canadensis voucher v0126598WIS maturase K (matK) gene, partial cds; chloroplast",MK509433,matK
Turritis glabra,"Turritis glabra voucher XJ-108 maturase K (matK) gene, partial cds; chloroplast",MT917664,matK
Arabis glabra,"Arabis glabra maturase K (matK) gene, complete cds; plastid gene for plastid product",AF144333,matK
Arabis hirsuta,"Arabis hirsuta voucher Ge131061 maturase K (matK) gene, partial cds; chloroplast",MH659194,matK
Aralia nudicaulis,"Aralia nudicaulis voucher ERM1484 maturase K (matK) gene, partial cds; chloroplast",KX677708,matK
Moehringia lateriflora,"Moehringia lateriflora tRNA-Lys (trnK) and matK genes, partial sequence; chloroplast",FJ404851,matK
Aronia melanocarpa,"Aronia melanocarpa voucher S. L. Zhou BOP022150 maturase K (matK) gene, complete cds; chloroplast",MG704048,matK
Artemisia ludoviciana,"Artemisia ludoviciana voucher v0113432WIS maturase K (matK) gene, partial cds; chloroplast",MK509457,matK
Asclepias exaltata,"Asclepias exaltata voucher SNP_13_0386 maturase K (matK) gene, partial cds; chloroplast",KP642905,matK
Asclepias incarnata,"Asclepias incarnata voucher JAG 0647 maturase K (matK) gene, partial cds; chloroplast",MG225243,matK
Asclepias ovalifolia,"Asclepias ovalifolia voucher v0223638WIS maturase K (matK) gene, partial cds; chloroplast",MK519675,matK
Asclepias syriaca,"Asclepias syriaca voucher UD 026 maturase K (matK) gene, partial cds; chloroplast",MG225299,matK
Asclepias tuberosa,"Asclepias tuberosa voucher Trotta950205 maturase K (matK) gene, partial cds; chloroplast",MH621535,matK
Asclepias verticillata,"Asclepias verticillata isolate OSBAR 000517 maturase K (matK) gene, partial cds; chloroplast",MH552010,matK
Asclepias viridiflora,"Asclepias viridiflora voucher v0231116WIS maturase K (matK) gene, partial cds; chloroplast",MK519681,matK
Asparagus officinalis,"Asparagus officinalis voucher Ge130580 maturase K (matK) gene, partial cds; chloroplast",MT917256,matK
Symphyotrichum oolentangiense,"Symphyotrichum oolentangiense voucher v0039468WIS maturase K (matK) gene, partial cds; chloroplast",MK520733,matK
Symphyotrichum ericoides,"Symphyotrichum ericoides voucher v0029124WIS maturase K (matK) gene, partial cds; chloroplast",MK520725,matK
Symphyotrichum boreale,"Symphyotrichum boreale voucher 09PROBE-05530 maturase K (matK) gene, partial cds; chloroplast",JN966701,matK
Symphyotrichum lanceolatum,"Symphyotrichum lanceolatum voucher WAB_0132468968 maturase K (matK) gene, partial cds; chloroplast",KJ593113,matK
Eurybia macrophylla,"Eurybia macrophylla voucher SNP_13_0428 maturase K (matK) gene, partial cds; chloroplast",KP643001,matK
Symphyotrichum novae-angliae,"Symphyotrichum novae-angliae voucher CCDB-21226-A10 maturase K (matK) gene, partial cds; chloroplast",MG225002,matK
Aster novae-angliae,"Aster novae-angliae maturase K (matK) gene, partial cds; chloroplast gene for chloroplast product",AF151441,matK
Solidago ptarmicoides,"Solidago ptarmicoides voucher SNEW054_B maturase K (matK) gene, partial cds; chloroplast",MG224985,matK
Symphyotrichum puniceum,"Symphyotrichum puniceum voucher AP354 maturase K (matK) gene, partial cds; chloroplast",HQ593461,matK
Doellingeria umbellata,"Doellingeria umbellata voucher MT00180213 maturase K (matK) gene, partial cds; chloroplast",MG225054,matK
Astragalus canadensis,"Astragalus canadensis voucher v0025027WIS maturase K (matK) gene, partial cds; chloroplast",MK519684,matK
Baptisia alba,"Baptisia alba maturase K (matK) gene, partial cds; chloroplast",KJ772576,matK
Barbarea vulgaris,"Barbarea vulgaris voucher Ge130089 maturase K (matK) gene, partial cds; chloroplast",MT917686,matK
Berteroa incana,"Berteroa incana voucher Ge130389 maturase K (matK) gene, partial cds; chloroplast",MT917849,matK
Betula alleghaniensis,"Betula alleghaniensis maturase K (matK) gene, complete cds; chloroplast",AY372015,matK
Betula papyrifera,"Betula papyrifera voucher MF338 maturase K (matK) gene, partial cds; chloroplast",KX677751,matK
Betula pumila,"Betula pumila voucher HERB0074 maturase K (matK) gene, partial cds; chloroplast",KX677622,matK
Bidens cernua,"Bidens cernua voucher BAB-6860 maturase K (matK) gene, partial cds; chloroplast",MG225347,matK
Bidens coronata,"Bidens coronata maturase K (matK) gene, partial cds; chloroplast",AY551476,matK
Bidens tripartita,"Bidens tripartita P2339 chloroplast matK gene for maturase K, partial cds",LC722797,matK
Bidens comosa,"Bidens comosa maturase K (matK) gene, partial cds; chloroplast",AY551475,matK
Bouteloua curtipendula,"Bouteloua curtipendula maturase (matK) gene, complete cds; chloroplast gene for chloroplast product",AF144578,matK
Bouteloua aristidoides,"Bouteloua aristidoides maturase K (matK) gene, partial cds; chloroplast",JF729088,matK
Bromus ciliatus,"Bromus ciliatus voucher 04-PMP-18659 maturase K (matK) gene, partial cds; chloroplast",MF597202,matK
Bromus inermis,"Bromus inermis voucher TLF-022 maturase K (matK) gene, partial cds; chloroplast",MT929971,matK
Bromus kalmii,"Bromus kalmii voucher MT00179369 maturase K (matK) gene, partial cds; chloroplast",MG216969,matK
Bromus tectorum,"Bromus tectorum voucher TW-0044 maturase K (matK) gene, partial cds; chloroplast",MT929975,matK
Bouteloua dactyloides,"Bouteloua dactyloides voucher Li ZY, Xu SZ 13528 tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, complete cds; chloroplast",MF159514,matK
Buchloe dactyloides,"Buchloe dactyloides maturase (matK) gene, complete cds; chloroplast gene for chloroplast product",AF312325,matK
Calamagrostis canadensis,"Calamagrostis canadensis subsp. langsdorffii voucher CMN:590946 (P.M. Peterson, J.M. Saarela & S.F. Smith 18711) maturase K (matK) gene, partial cds; chloroplast",KX873263,matK
Calamagrostis stricta,"Calamagrostis stricta subsp. inexpansa voucher NMNH:3543900 (S.S. Talbot ADA030-25) maturase K (matK) gene, partial cds; chloroplast",KX873361,matK
Caltha palustris,"Caltha palustris voucher v0175953WIS maturase K (matK) gene, partial cds; chloroplast",MK519727,matK
Campanula aparinoides,"Campanula aparinoides voucher BOP104459 maturase K (matK) gene, partial cds; chloroplast",MK555774,matK
Campanula rotundifolia,"Campanula rotundifolia voucher BOP205715 maturase K (matK) gene, partial cds; chloroplast",MK555954,matK
Capsella bursa-pastoris,"Capsella bursa-pastoris voucher XJ-162 maturase K (matK) gene, partial cds; chloroplast",MT917684,matK
Carex bebbii,"Carex bebbii voucher v0184046WIS maturase K (matK) gene, partial cds; chloroplast",MK519756,matK
Carex bicknellii,"Carex bicknellii voucher v0184196WIS maturase K (matK) gene, partial cds; chloroplast",MK519757,matK
Carex canescens,"Carex canescens isolate FMS-08 maturase K (matK) gene, partial cds; chloroplast",MH496671,matK
Carex echinata,"Carex echinata voucher KSRB 055 maturase K (matK) gene, partial cds; chloroplast",MG217134,matK
Carex chordorrhiza,"Carex chordorrhiza voucher RBGE208 maturase K (matK) gene, partial cds; chloroplast",MK926133,matK
Carex comosa,"Carex comosa chloroplast matK gene for maturase K and partial trnK gene intron, specimen voucher Gillett&Baum s.n. (ALA)",HG915847,matK
Carex diandra,"Carex diandra voucher Saarela_1551_CAN maturase K (matK) gene, partial cds; chloroplast",KC474313,matK
Carex disperma,"Carex disperma maturase K (matK) gene, partial cds; chloroplast",KP980093,matK
Carex foenea,"Carex foenea voucher B. Gilbert B53/1.4.1 (MTMG) maturase K (matK) gene, partial cds; chloroplast",KU496572,matK
Carex gracillima,"Carex gracillima voucher WAB_0132469180 maturase K (matK) gene, partial cds; chloroplast",KJ592879,matK
Carex haydenii,"Carex haydenii voucher v0200894WIS maturase K (matK) gene, partial cds; chloroplast",MK519799,matK
Carex interior,"Carex interior voucher ERM1105 maturase K (matK) gene, partial cds; chloroplast",KX677231,matK
Carex lacustris,"Carex lacustris voucher v0254734WIS maturase K (matK) gene, partial cds; chloroplast",MK519806,matK
Carex lasiocarpa,"Carex lasiocarpa voucher MISU25-19 maturase K (matK) gene, partial cds; chloroplast",MG217037,matK
Carex vulpinoidea,"Carex vulpinoidea voucher v0126121WIS maturase K (matK) gene, partial cds; chloroplast",MK519870,matK
Carex oligosperma,"Carex oligosperma voucher MTMG:M.J. Waterway 97.094 maturase K (matK) gene, partial cds; chloroplast",KR902910,matK
Carex pensylvanica,"Carex pensylvanica voucher AP004-b maturase K (matK) gene, partial cds; chloroplast",HQ593215,matK
Carex rostrata,"Carex rostrata voucher M.J. Waterway 97.083 (MTMG) maturase K (matK) gene, partial cds; chloroplast",KU496585,matK
Carex scoparia,"Carex scoparia voucher v0198435WIS maturase K (matK) gene, partial cds; chloroplast",MK519847,matK
Carex stricta,"Carex stricta voucher v0204898WIS maturase K (matK) gene, partial cds; chloroplast",MK519854,matK
Chamaecrista fasciculata,"Chamaecrista fasciculata voucher Trotta950201 maturase K (matK) gene, partial cds; chloroplast",MH621636,matK
Ceanothus americanus,"Ceanothus americanus voucher MT00179379 maturase K (matK) gene, partial cds; chloroplast",MG220860,matK
Celastrus scandens,"Celastrus scandens maturase K (matK) gene, partial cds; plastid",EU328936,matK
Cenchrus longispinus,"Cenchrus longispinus voucher v0221181WIS maturase K (matK) gene, partial cds; chloroplast",MK519885,matK
Chamaedaphne calyculata,"Chamaedaphne calyculata P3454 chloroplast matK gene for maturase K, partial cds",LC610863,matK
Chenopodium album,"Chenopodium album voucher Q176 maturase K (matK) gene, partial cds; chloroplast",MH659619,matK
Chenopodiastrum hybridum,"Chenopodiastrum hybridum voucher NMW7387 maturase K (matK) gene, partial cds; chloroplast",MK926222,matK
Chenopodium hybridum,"Chenopodium hybridum chloroplast matK gene for maturase K and partial trnK gene intron, specimen voucher AC609",HE855635,matK
Chenopodium leptophyllum,"Chenopodium leptophyllum voucher HERB0130 maturase K (matK) gene, partial cds; chloroplast",KX677104,matK
Heterotheca villosa,"Heterotheca villosa voucher v0033254WIS maturase K (matK) gene, partial cds; chloroplast",MK520177,matK
Cicuta bulbifera,"Cicuta bulbifera voucher BAB-2943 maturase K (matK) gene, partial cds; chloroplast",MG225077,matK
Circaea lutetiana,"Circaea lutetiana voucher v0139816WIS maturase K (matK) gene, partial cds; chloroplast",MK519915,matK
Cirsium arvense,"Cirsium arvense voucher Q629 maturase K (matK) gene, partial cds; chloroplast",MH660028,matK
Cirsium discolor,"Cirsium discolor voucher v0033535WIS maturase K (matK) gene, partial cds; chloroplast",MK519918,matK
Comandra umbellata,"Comandra umbellata voucher ERM1777 maturase K (matK) gene, partial cds; chloroplast",KX677170,matK
Convolvulus arvensis,"Convolvulus arvensis voucher TW-0358 maturase K (matK) gene, partial cds; chloroplast",MT930208,matK
Erigeron canadensis,"Erigeron canadensis voucher Anastasio Sotero 20707 (MEXU, US) maturase K (matK) gene, partial cds; chloroplast",OQ289918,matK
Conyza canadensis,"Conyza canadensis maturase K (matK) gene, partial cds; chloroplast",KJ772674,matK
Coreopsis palmata,"Coreopsis palmata maturase K (matK) gene, partial cds; chloroplast",AY551480,matK
Cornus alternifolia,"Cornus alternifolia voucher v0124758WIS maturase K (matK) gene, partial cds; chloroplast",MK519951,matK
Cornus racemosa,"Cornus racemosa voucher Xiang 157 maturase (matK) gene, partial cds; chloroplast",DQ340470,matK
Cornus sericea,"Cornus sericea voucher ERM506 maturase K (matK) gene, partial cds; chloroplast",KX677417,matK
Corylus americana,"Corylus americana voucher MT00179124 maturase K (matK) gene, partial cds; chloroplast",MG221012,matK
Crepis tectorum,"Crepis tectorum voucher ERM663 maturase K (matK) gene, partial cds; chloroplast",KX677707,matK
Cycloloma atriplicifolium,"Cycloloma atriplicifolium voucher v0013432WIS maturase K (matK) gene, partial cds; chloroplast",MK519976,matK
Cyperus filiculmis,"Cyperus filiculmis isolate OSBAR 000514 maturase K (matK) gene, partial cds; chloroplast",MH552007,matK
Cyperus schweinitzii,"Cyperus schweinitzii voucher v0194904WIS maturase K (matK) gene, partial cds; chloroplast",MK519982,matK
Cyperus strigosus,"Cyperus strigosus voucher v0209215WIS maturase K (matK) gene, partial cds; chloroplast",MK519984,matK
Danthonia spicata,"Danthonia spicata voucher 07-JMS-1077 maturase K (matK) gene, partial cds; chloroplast",MF597306,matK
Delphinium carolinianum,"Delphinium carolinianum voucher v0111566WIS maturase K (matK) gene, partial cds; chloroplast",MK519995,matK
Desmodium canadense,"Desmodium canadense voucher RBG 009 maturase K (matK) gene, partial cds; chloroplast",MG221159,matK
Hylodesmum glutinosum,"Hylodesmum glutinosum voucher JAG 0817 maturase K (matK) gene, partial cds; chloroplast",MG221152,matK
Digitaria ischaemum,"Digitaria ischaemum voucher LiZJ0839 maturase K (matK) gene, partial cds; chloroplast",MN450939,matK
Digitaria sanguinalis,"Digitaria sanguinalis voucher GPAGA 327 maturase K (matK) gene, partial cds; chloroplast",OL434958,matK
